0,0,11,0.032
0,1,7,0.02
0,2,14,0.04
0,3,17,0.049
0,4,86,0.249
0,5,164,0.474
0,6,1,0.003
0,7,4,0.012
0,8,3,0.009
0,9,39,0.113
1,0,7,0.023
1,1,2,0.007
1,2,19,0.062
1,3,14,0.046
1,4,72,0.237
1,5,163,0.536
1,8,1,0.003
1,9,26,0.086
2,0,3,0.015
2,1,2,0.01
2,2,6,0.03
2,3,5,0.025
2,4,26,0.129
2,5,137,0.678
2,9,23,0.114
3,0,8,0.03
3,1,5,0.019
3,2,19,0.072
3,3,15,0.057
3,4,45,0.17
3,5,147,0.555
3,6,1,0.004
3,7,2,0.008
3,9,23,0.087
4,0,12,0.031
4,1,7,0.018
4,2,10,0.026
4,3,18,0.047
4,4,50,0.131
4,5,252,0.66
4,8,2,0.005
4,9,31,0.081
